,Age,Income (USD),Income Stability,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
0,56,1933.05,1,14,1,72809.58,241.08,0,0,3.0,809.44,0,2,0,1.0,119933.46,54607.18
1,32,4952.91,1,6,1,46837.47,495.81,0,1,1.0,780.4,0,2,0,1.0,54791.0,37469.98
3,65,2614.77,0,6,0,80057.92,298.54,0,1,2.0,832.7,1,2,1,1.0,121441.51,56040.54
4,31,2614.77,1,6,1,113858.89,491.41,0,1,2.0,745.55,1,0,1,1.0,208567.91,74008.28
5,60,1234.92,1,15,0,34434.72,181.48,0,0,2.0,684.12,1,1,0,1.0,43146.82,22382.57
7,45,1296.07,1,10,1,240311.77,807.64,0,0,2.0,812.26,0,0,2,1.0,401040.7,168218.24
8,38,1296.07,1,2,0,35141.99,155.95,0,1,3.0,705.29,1,0,0,1.0,54903.44,22842.29
10,18,2416.86,1,3,1,25765.72,140.02,0,1,1.0,652.41,0,0,0,1.0,32423.71,16747.72
12,48,777.25,1,3,1,96080.6,342.33,0,0,3.0,764.11,0,0,1,1.0,146073.26,67256.42
13,43,997.25,1,3,0,48894.06,178.06,1,0,1.0,726.28,0,0,0,1.0,80607.4,34225.84
14,61,1664.52,1,3,1,72448.95,398.88,0,1,2.0,781.51,0,0,2,1.0,113464.01,54336.71
15,54,3716.54,1,4,0,116487.58,521.23,1,1,4.0,749.33,1,0,2,1.0,194442.39,75716.93
17,64,2346.88,1,14,0,89489.99,327.14,0,1,1.0,803.04,0,0,0,1.0,148424.56,67117.49
19,41,1837.17,1,16,0,112910.57,422.61,1,0,3.0,722.74,0,1,2,1.0,128407.6,73391.87
21,19,2889.94,1,14,0,57810.08,264.92,0,1,2.0,787.74,0,1,1,1.0,80756.7,40467.06
23,24,2538.85,1,8,0,120525.64,552.77,1,1,3.0,721.27,1,1,0,1.0,170642.55,84367.95
25,63,700.07,0,3,1,38101.51,240.38,0,1,2.0,860.88,0,2,2,1.0,47390.38,28576.13
29,29,3880.49,1,3,2,234770.77,636.65,1,1,5.0,767.85,0,0,1,1.0,326886.67,164339.54
30,32,2478.54,1,0,1,30195.97,225.64,0,1,1.0,688.21,0,0,0,1.0,45299.77,24156.78
31,18,2474.33,1,8,1,85927.28,217.19,0,0,3.0,688.21,0,2,0,1.0,160151.78,60149.1
32,28,2474.33,1,8,1,17503.0,144.82,0,1,3.0,855.97,1,2,0,1.0,32580.57,14002.4
33,18,1220.16,1,8,1,35595.86,153.25,0,0,3.0,706.08,0,2,1,1.0,41948.44,24917.1
36,61,5302.28,1,0,0,186715.38,527.81,1,0,1.0,748.38,0,0,1,1.0,270558.3,121365.0
37,18,2368.34,1,8,1,18386.57,219.7,0,1,2.0,672.32,0,2,1,1.0,27966.91,11951.27
39,18,7885.56,1,10,2,121963.5,587.8,1,1,1.0,721.18,1,2,2,1.0,142645.25,85374.45
40,30,4096.07,1,4,1,65332.24,334.81,1,0,3.0,707.3,0,1,2,1.0,122411.52,42465.96
41,54,5330.72,1,10,1,133531.81,535.77,0,0,1.0,861.21,1,0,2,1.0,170214.99,100148.86
42,37,2680.38,1,3,1,85145.49,618.52,0,1,1.0,855.18,0,1,0,1.0,104278.0,68116.39
43,51,3384.91,1,3,1,40679.95,340.44,0,1,2.0,799.57,1,0,1,1.0,54618.45,32543.96
44,18,1694.53,1,3,0,41837.3,286.68,1,0,3.0,747.21,1,1,2,1.0,75416.35,27194.25
46,54,1871.92,1,0,1,55863.31,318.76,0,1,1.0,797.47,0,0,1,1.0,102110.07,44690.65
47,44,1761.15,1,2,1,75574.36,355.11,0,0,1.0,755.48,0,1,0,1.0,84102.27,56680.77
48,64,2478.3,1,3,1,171270.39,560.47,0,0,3.0,733.67,0,2,2,1.0,300043.91,111325.75
49,59,1282.74,1,16,1,155502.39,502.13,0,0,4.0,855.39,1,2,1,1.0,228079.45,116626.79
50,62,1282.74,1,16,1,71476.86,334.91,0,0,4.0,775.55,0,0,2,1.0,85170.57,57181.49
51,39,1822.63,1,16,1,47012.15,238.11,0,1,1.0,757.22,0,2,0,1.0,84534.32,35259.11
52,61,3104.0,1,6,1,159180.09,669.51,0,1,2.0,842.99,0,1,0,1.0,278885.16,119385.07
56,31,5445.6,1,3,0,99992.27,702.57,1,1,2.0,745.91,0,0,0,1.0,145120.22,64994.98
57,43,5445.6,1,8,1,58236.85,435.07,0,1,2.0,718.89,0,1,1,1.0,72025.12,40765.8
58,33,3175.91,1,3,2,185900.53,699.92,0,1,3.0,681.16,1,2,1,1.0,210100.47,130130.37
60,58,1633.88,1,3,1,48546.56,238.55,0,1,2.0,774.67,0,1,2,1.0,84149.5,33982.59
61,25,1224.99,1,3,0,84606.2,427.1,0,0,4.0,705.62,0,2,0,1.0,136029.3,59224.34
63,43,1047.12,1,3,1,43232.4,203.58,0,1,2.0,725.78,0,2,2,1.0,70538.77,28101.06
65,28,1972.0,1,3,0,97666.72,356.08,1,0,2.0,796.03,0,1,0,1.0,116536.87,68366.7
67,65,3865.02,0,0,1,217597.12,658.92,1,0,2.0,797.55,1,1,2,1.0,263176.92,163197.84
68,18,1318.47,1,0,1,27469.27,138.28,1,1,4.0,812.36,0,1,0,1.0,50068.09,21975.42
70,43,1794.1,1,8,0,33807.36,240.32,1,1,4.0,723.8,0,0,0,1.0,51738.76,21974.78
71,54,2814.48,1,8,2,100346.63,427.31,0,1,3.0,742.45,0,1,1,1.0,132302.29,65225.31
72,24,1580.38,1,3,1,66041.19,325.89,0,0,4.0,717.92,0,0,1,1.0,100265.3,46228.83
73,55,2700.12,1,4,1,24890.1,141.45,1,0,2.0,757.67,0,0,0,1.0,32954.34,18667.57
74,50,2476.71,1,0,1,61445.67,316.61,0,1,2.0,710.12,0,0,2,1.0,116623.96,43011.97
